id,lat,lon,num_cages
1058,39.95542751,15.3820455,6
1061,38.86492947,16.20158393,1
1062,38.53559173,14.92829335,5
1063,44.03038095,9.818174527,8
1064,44.84121658,12.31320054,23
1068,40.98245096,9.636218271,21
1070,40.9240653,9.554845269,38
1073,39.40150085,9.612776174,63
1074,39.3466717,9.595499153,15
1075,39.33805699,9.596429335,49
1076,39.09924673,8.434933929,12
1081,37.08758438,13.94539092,19
1083,38.05176706,12.88025147,3
1084,38.08230589,13.02787011,5
1086,38.22295459,15.32330889,2
1091,36.7152509,15.14833168,12
1093,44.28678355,9.348626287,7
1095,45.76548492,13.59171458,15
1098,45.76548492,13.59171459,15
1100,41.06025021,17.09930708,2
1103,44.07344248,9.84316001,34
1105,43.06081133,9.839688836,1
1113,41.23330822,13.59022414,47
1117,38.72624479,16.0857204,4
1118,38.72624479,16.08572041,19
1121,39.68621374,16.54553938,4
1122,41.62269853,15.94664837,36
1123,41.72200968,16.10859577,41
1125,40.80226216,14.11670068,6
1127,40.74348504,14.01984397,2
1129,44.07673834,9.860701779,8
1130,43.0701007,9.843156017,2
1131,40.9805192,9.623861086,6
1132,40.65099282,14.75925072,18
1133,38.3604303,15.79884159,12
1134,38.1716178,14.97594216,10
1135,38.17010157,14.96625313,3
1136,37.63595899,12.55623359,10
1137,37.30631793,15.19436458,8
1138,39.62622772,16.7058765,5
1139,40.25083784,17.867767,4
1140,40.20745511,17.89925865,4
1141,40.44704864,18.26638719,6
1142,41.19520228,16.6802583,8
1143,42.46883792,14.25193626,1
1144,40.90283729,12.97100859,3
1145,39.95040316,16.66956576,8
1146,41.4231025,12.61531129,4
1147,42.38741721,11.24287547,1
1229,42.56587409,8.780700527,18
1234,43.09782711,5.909554394,22
1235,43.08568077,5.905947023,56
1266,43.08902962,5.904914118,50
1278,43.65644051,7.169609525,26
1280,43.27054957,5.301908325,21
1283,43.48320346,6.937040498,32
1286,43.54922563,7.062751373,46
1289,43.55460151,7.115240237,19
1293,43.08596877,5.920329054,7
1294,43.41174718,6.777742886,20
1296,43.50720558,6.949620387,20
1297,43.52345883,7.057460635,18
1298,44.04041682,15.18007197,5
1299,42.92104785,17.50050473,1
1301,42.91105104,17.49295726,28
1304,44.02431627,15.21982199,24
1305,45.02599089,14.35359824,8
1307,44.02735926,15.21460809,16
1308,44.03219988,15.22457069,20
1310,44.0381656,15.21706251,12
1311,43.83928187,15.51057497,9
1315,43.83239919,15.498476,8
1317,43.39102351,16.21030797,4
1321,42.92319102,17.47480054,14
1323,42.9176632,17.49096466,29
1327,45.1351763,13.69412866,3
1329,44.89410668,13.98902,4
1330,44.4384435,14.99944939,9
1331,44.00458803,15.2666423,32
1334,43.47729119,16.17391415,7
1335,43.28855679,16.48392687,2
1340,43.30228536,16.4667008,17
1342,43.28149705,16.49718725,10
1345,44.02126855,15.11348971,7
1349,44.03652364,15.10001814,15
1351,44.0636423,15.0733237,6
1355,44.04484485,15.12101702,72
1356,44.00376758,15.06167984,1
1357,43.89233985,15.40307932,20
1359,43.88689487,15.42234823,6
1362,43.50941512,15.96227705,81
1365,43.46493919,16.10098374,2
1366,43.35139075,16.37367966,5
1367,42.74441259,17.6014338,10
1385,40.33677937,19.41517945,4
1386,40.33989322,19.41004095,4
1387,40.33989322,19.41004096,4
1389,40.34638156,19.40823504,17
1390,40.35122693,19.40934923,20
1393,40.35716552,19.4076224,6
1394,40.36163891,19.40870698,3
1395,40.37492557,19.40532481,3
1398,40.05460396,19.80011055,4
1403,39.78332465,20.03112,1496
1405,39.69999426,19.9829774,7
1407,39.7910233,20.00240668,16
1410,39.6893458,19.99835948,19
1412,39.69205743,20.00636495,2
1414,39.69205743,20.00636496,1
1417,42.91606283,17.61475426,26
1419,42.93189957,17.5672704,20
1421,42.30946643,18.35587274,8
1422,42.47511825,18.76322955,20
1424,45.49068899,13.57948754,16
1425,45.48746524,13.58157063,10
1427,35.95095883,14.39043011,1
1428,35.96495925,14.40747462,17
1431,35.82815008,14.54227279,5
1433,35.83574121,14.57975682,9
1435,35.81465194,14.54349493,4
1436,35.98166041,14.37262595,4
1438,36.00051756,14.33058754,8
1440,35.97557432,14.42232538,12
1442,35.95596319,14.3956103,10
1443,31.83268749,34.63713035,18
1445,32.18575055,23.30422718,2
1446,32.82302682,13.71934533,5
1447,32.68184115,14.25485676,6
1449,32.91624049,22.21147581,4
1452,35.41434539,11.08127672,9
1453,35.45808142,11.10064334,9
1455,33.48340919,11.12771386,54
1456,36.04056112,10.5134115,6
