,geometry
95,"POLYGON ((337956.83256960544 5303567.07623245, 337956.83256960544 5304767.07623245, 336756.83256960544 5304767.07623245, 336756.83256960544 5303567.07623245, 337956.83256960544 5303567.07623245))"
96,"POLYGON ((337956.83256960544 5304767.07623245, 337956.83256960544 5305967.07623245, 336756.83256960544 5305967.07623245, 336756.83256960544 5304767.07623245, 337956.83256960544 5304767.07623245))"
97,"POLYGON ((337956.83256960544 5305967.07623245, 337956.83256960544 5307167.07623245, 336756.83256960544 5307167.07623245, 336756.83256960544 5305967.07623245, 337956.83256960544 5305967.07623245))"
98,"POLYGON ((337956.83256960544 5307167.07623245, 337956.83256960544 5308367.07623245, 336756.83256960544 5308367.07623245, 336756.83256960544 5307167.07623245, 337956.83256960544 5307167.07623245))"
99,"POLYGON ((337956.83256960544 5320367.07623245, 337956.83256960544 5321567.07623245, 336756.83256960544 5321567.07623245, 336756.83256960544 5320367.07623245, 337956.83256960544 5320367.07623245))"
100,"POLYGON ((337956.83256960544 5321567.07623245, 337956.83256960544 5322767.07623245, 336756.83256960544 5322767.07623245, 336756.83256960544 5321567.07623245, 337956.83256960544 5321567.07623245))"
101,"POLYGON ((337956.83256960544 5322767.07623245, 337956.83256960544 5323967.07623245, 336756.83256960544 5323967.07623245, 336756.83256960544 5322767.07623245, 337956.83256960544 5322767.07623245))"
102,"POLYGON ((337956.83256960544 5323967.07623245, 337956.83256960544 5325167.07623245, 336756.83256960544 5325167.07623245, 336756.83256960544 5323967.07623245, 337956.83256960544 5323967.07623245))"
103,"POLYGON ((337956.83256960544 5325167.07623245, 337956.83256960544 5326367.07623245, 336756.83256960544 5326367.07623245, 336756.83256960544 5325167.07623245, 337956.83256960544 5325167.07623245))"
104,"POLYGON ((337956.83256960544 5326367.07623245, 337956.83256960544 5327567.07623245, 336756.83256960544 5327567.07623245, 336756.83256960544 5326367.07623245, 337956.83256960544 5326367.07623245))"
105,"POLYGON ((339156.83256960544 5244767.07623245, 339156.83256960544 5245967.07623245, 337956.83256960544 5245967.07623245, 337956.83256960544 5244767.07623245, 339156.83256960544 5244767.07623245))"
106,"POLYGON ((339156.83256960544 5245967.07623245, 339156.83256960544 5247167.07623245, 337956.83256960544 5247167.07623245, 337956.83256960544 5245967.07623245, 339156.83256960544 5245967.07623245))"
107,"POLYGON ((339156.83256960544 5247167.07623245, 339156.83256960544 5248367.07623245, 337956.83256960544 5248367.07623245, 337956.83256960544 5247167.07623245, 339156.83256960544 5247167.07623245))"
108,"POLYGON ((339156.83256960544 5248367.07623245, 339156.83256960544 5249567.07623245, 337956.83256960544 5249567.07623245, 337956.83256960544 5248367.07623245, 339156.83256960544 5248367.07623245))"
109,"POLYGON ((339156.83256960544 5249567.07623245, 339156.83256960544 5250767.07623245, 337956.83256960544 5250767.07623245, 337956.83256960544 5249567.07623245, 339156.83256960544 5249567.07623245))"
110,"POLYGON ((339156.83256960544 5250767.07623245, 339156.83256960544 5251967.07623245, 337956.83256960544 5251967.07623245, 337956.83256960544 5250767.07623245, 339156.83256960544 5250767.07623245))"
111,"POLYGON ((339156.83256960544 5251967.07623245, 339156.83256960544 5253167.07623245, 337956.83256960544 5253167.07623245, 337956.83256960544 5251967.07623245, 339156.83256960544 5251967.07623245))"
112,"POLYGON ((339156.83256960544 5253167.07623245, 339156.83256960544 5254367.07623245, 337956.83256960544 5254367.07623245, 337956.83256960544 5253167.07623245, 339156.83256960544 5253167.07623245))"
113,"POLYGON ((339156.83256960544 5254367.07623245, 339156.83256960544 5255567.07623245, 337956.83256960544 5255567.07623245, 337956.83256960544 5254367.07623245, 339156.83256960544 5254367.07623245))"
114,"POLYGON ((339156.83256960544 5255567.07623245, 339156.83256960544 5256767.07623245, 337956.83256960544 5256767.07623245, 337956.83256960544 5255567.07623245, 339156.83256960544 5255567.07623245))"
115,"POLYGON ((339156.83256960544 5256767.07623245, 339156.83256960544 5257967.07623245, 337956.83256960544 5257967.07623245, 337956.83256960544 5256767.07623245, 339156.83256960544 5256767.07623245))"
116,"POLYGON ((339156.83256960544 5257967.07623245, 339156.83256960544 5259167.07623245, 337956.83256960544 5259167.07623245, 337956.83256960544 5257967.07623245, 339156.83256960544 5257967.07623245))"
117,"POLYGON ((339156.83256960544 5259167.07623245, 339156.83256960544 5260367.07623245, 337956.83256960544 5260367.07623245, 337956.83256960544 5259167.07623245, 339156.83256960544 5259167.07623245))"
118,"POLYGON ((339156.83256960544 5260367.07623245, 339156.83256960544 5261567.07623245, 337956.83256960544 5261567.07623245, 337956.83256960544 5260367.07623245, 339156.83256960544 5260367.07623245))"
119,"POLYGON ((339156.83256960544 5261567.07623245, 339156.83256960544 5262767.07623245, 337956.83256960544 5262767.07623245, 337956.83256960544 5261567.07623245, 339156.83256960544 5261567.07623245))"
120,"POLYGON ((339156.83256960544 5262767.07623245, 339156.83256960544 5263967.07623245, 337956.83256960544 5263967.07623245, 337956.83256960544 5262767.07623245, 339156.83256960544 5262767.07623245))"
121,"POLYGON ((339156.83256960544 5263967.07623245, 339156.83256960544 5265167.07623245, 337956.83256960544 5265167.07623245, 337956.83256960544 5263967.07623245, 339156.83256960544 5263967.07623245))"
122,"POLYGON ((339156.83256960544 5265167.07623245, 339156.83256960544 5266367.07623245, 337956.83256960544 5266367.07623245, 337956.83256960544 5265167.07623245, 339156.83256960544 5265167.07623245))"
123,"POLYGON ((339156.83256960544 5266367.07623245, 339156.83256960544 5267567.07623245, 337956.83256960544 5267567.07623245, 337956.83256960544 5266367.07623245, 339156.83256960544 5266367.07623245))"
124,"POLYGON ((339156.83256960544 5267567.07623245, 339156.83256960544 5268767.07623245, 337956.83256960544 5268767.07623245, 337956.83256960544 5267567.07623245, 339156.83256960544 5267567.07623245))"
125,"POLYGON ((339156.83256960544 5268767.07623245, 339156.83256960544 5269967.07623245, 337956.83256960544 5269967.07623245, 337956.83256960544 5268767.07623245, 339156.83256960544 5268767.07623245))"
126,"POLYGON ((339156.83256960544 5269967.07623245, 339156.83256960544 5271167.07623245, 337956.83256960544 5271167.07623245, 337956.83256960544 5269967.07623245, 339156.83256960544 5269967.07623245))"
127,"POLYGON ((339156.83256960544 5271167.07623245, 339156.83256960544 5272367.07623245, 337956.83256960544 5272367.07623245, 337956.83256960544 5271167.07623245, 339156.83256960544 5271167.07623245))"
128,"POLYGON ((339156.83256960544 5272367.07623245, 339156.83256960544 5273567.07623245, 337956.83256960544 5273567.07623245, 337956.83256960544 5272367.07623245, 339156.83256960544 5272367.07623245))"
129,"POLYGON ((339156.83256960544 5273567.07623245, 339156.83256960544 5274767.07623245, 337956.83256960544 5274767.07623245, 337956.83256960544 5273567.07623245, 339156.83256960544 5273567.07623245))"
